n,hrg_deg,low,high,rep
262144,102.499,89.7864,158.352,43
524288,98.3544,96.3758,153.487,43
1048576,100.409,98.3892,156.693,43
2097152,99.7114,96.8875,155.994,43
4096,103.084,91.1452,153.217,44
8192,88.7043,85.8284,135.309,44
16384,102.141,94.2212,155.406,44
32768,105.149,94.6959,159.983,44
65536,98.9837,94.8271,152.535,44
131072,99.8216,98.6323,154.996,44
262144,101.496,94.4591,157.597,44
524288,101.774,98.6137,158.426,44
1048576,99.0074,95.9327,154.506,44
2097152,100.508,99.0357,157.24,44
4096,88.5688,85.2129,133.718,45
8192,96.6572,91.5412,145.93,45
16384,98.0371,87.7547,149.545,45
32768,95.1044,88.7703,146.186,45
65536,96.8366,94.8886,149.605,45
131072,97.7933,91.5475,151.465,45
262144,101.192,93.3453,156.728,45
524288,103.787,93.185,160.748,45
1048576,100.584,96.36,156.966,45
2097152,102.206,99.5912,159.498,45
4096,94.9561,83.4389,140.765,46
8192,109.173,94.4386,161.84,46
16384,106.266,93.3771,160.437,46
32768,98.213,95.9686,150.58,46
65536,103.938,88.4898,159.359,46
131072,103.85,86.1427,159.629,46
262144,102.911,88.1775,158.587,46
524288,100.684,98.6583,156.729,46
1048576,98.1822,97.5494,153.218,46
2097152,99.5547,98.3686,155.749,46
4096,98.6621,83.7279,147.415,47
8192,97.3274,84.192,146.181,47
16384,99.5112,82.2717,151.016,47
32768,98.421,89.9822,150.899,47
65536,98.4135,95.6264,151.657,47
131072,100.334,98.3156,155.008,47
262144,100.09,99.445,156.195,47
524288,99.4367,91.9983,154.787,47
1048576,98.0583,96.3538,153.408,47
2097152,100.07,98.0571,156.555,47
4096,99.3008,82.0977,147.594,48
8192,103.517,93.2263,156.287,48
16384,96.4523,90.8196,147.127,48
32768,98.0992,93.7115,150.406,48
65536,102.127,97.0007,157.379,48
131072,104.74,94.3278,160.179,48
262144,99.3664,98.1825,154.29,48
524288,102.318,91.5866,158.873,48
1048576,100.639,96.9629,157.051,48
2097152,99.8204,99.45,156.164,48
4096,93.5083,86.0021,140.445,49
8192,91.1394,86.6892,139.023,49
16384,99.1178,88.9931,149.645,49
32768,95.1788,86.2372,146.672,49
65536,100.983,91.4957,154.827,49
131072,100.836,97.7044,156.177,49
262144,98.8747,93.1006,153.912,49
524288,99.005,97.8255,154.115,49
1048576,98.8984,97.9906,154.336,49
2097152,102.187,95.1021,158.67,49
