dimension,n,avgDeg,alpha,ple,threads,seed,plot,TimeWeights,TimePositions,TimeBinary,TimeEdges,GenNumEdge,GenAvgDeg
2,32768,10,2,2.5,2,216,5,3.9902,2.3137,6.3758,107.795,163882,10.0026
3,32768,10,2,2.5,2,217,5,4.1622,2.4575,9.5054,667.134,164820,10.0598
4,32768,10,2,2.5,2,218,5,4.0565,3.0771,27.1503,3601.63,162995,9.94843
5,32768,10,2,2.5,2,219,5,3.8785,3.4184,81.7364,17003.1,163791,9.99701
1,32768,10,2,2.5,3,221,5,3.8715,1.4599,2.7209,28.7138,164026,10.0114
2,32768,10,2,2.5,3,222,5,4.1873,1.9316,5.7939,83.8043,163161,9.95856
3,32768,10,2,2.5,3,223,5,3.7788,2.3902,7.5756,495.584,164178,10.0206
4,32768,10,2,2.5,3,224,5,3.7463,2.8448,19.4092,2852.48,163650,9.9884
5,32768,10,2,2.5,3,225,5,4.0473,3.3202,64.3326,13388.6,164052,10.0129
1,32768,10,2,2.5,4,227,5,4.0593,1.516,2.5512,21.1219,163494,9.97888
2,32768,10,2,2.5,4,228,5,3.8594,2.0879,4.2244,57.1822,164116,10.0168
3,32768,10,2,2.5,4,229,5,3.7671,2.426,5.7456,372.53,163419,9.9743
4,32768,10,2,2.5,4,230,5,3.8716,3.0238,41.2912,2201.32,163078,9.95349
5,32768,10,2,2.5,4,231,5,4.0339,3.6869,44.9758,11134.1,163373,9.9715
1,32768,10,2,2.5,5,233,5,3.8159,1.4701,6.942,22.0809,163728,9.99316
2,32768,10,2,2.5,5,234,5,3.8785,1.9766,4.524,49.8329,163734,9.99353
3,32768,10,2,2.5,5,235,5,3.8609,2.4593,9.2651,320.67,163230,9.96277
4,32768,10,2,2.5,5,236,5,3.847,2.9246,22.0118,1820.07,163966,10.0077
5,32768,10,2,2.5,5,237,5,3.8534,3.4079,68.7499,9446.62,163538,9.98157
1,32768,10,2,2.5,6,239,5,4.1604,1.4966,2.5781,18.2104,163245,9.96368
2,32768,10,2,2.5,6,240,5,4.0973,1.9854,45.1798,84.6981,163507,9.97968
3,32768,10,2,2.5,6,241,5,3.9541,2.4561,12.6475,298.553,163609,9.9859
4,32768,10,2,2.5,6,242,5,3.9291,2.9208,28.9108,1611.83,164101,10.0159
5,32768,10,2,2.5,6,243,5,3.8767,3.4064,73.5611,8549.71,164566,10.0443
1,1024,10,inf,2.5,1,245,0,0.141,0.0548,0.4132,0.3409,5183,10.123
1,1024,100,inf,2.5,1,246,0,0.1224,0.05,1.9316,1.26,51016,99.6406
1,2048,10,inf,2.5,1,247,0,0.2574,0.1007,0.4211,0.6679,10171,9.93262
1,2048,100,inf,2.5,1,248,0,0.2402,0.095,2.8016,2.1046,102067,99.6748
1,4096,10,inf,2.5,1,249,0,0.5435,0.1961,0.2523,1.3561,20426,9.97363
1,4096,100,inf,2.5,1,250,0,0.4804,0.1874,2.6778,5.1821,205573,100.377
1,4096,1000,inf,2.5,1,251,0,0.479,0.1925,102.763,25.7391,2048624,1000.3
1,8192,10,inf,2.5,1,252,0,1.4928,0.3794,0.5189,2.8707,40762,9.95166
1,8192,100,inf,2.5,1,253,0,0.9743,0.3832,11.8024,10.6133,408531,99.739
1,8192,1000,inf,2.5,1,254,0,0.9577,0.3729,125.1,68.6675,4096978,1000.24
1,16384,10,inf,2.5,1,255,0,2.0875,0.735,1.2132,6.5266,81886,9.99585
1,16384,100,inf,2.5,1,256,0,1.9204,0.7281,11.679,22.2975,817636,99.8091
1,16384,1000,inf,2.5,1,257,0,1.9371,0.7513,119.964,165.156,8188865,999.617
1,32768,10,inf,2.5,1,258,0,4.3529,1.4252,1.8949,12.2838,164196,10.0217
1,32768,100,inf,2.5,1,259,0,3.8603,1.4586,17.5857,47.7806,1637823,99.9648
1,32768,1000,inf,2.5,1,260,0,3.7918,1.7666,305.486,412.986,16390680,1000.41
1,65536,10,inf,2.5,1,261,0,7.9992,3.2375,3.9509,28.8274,326991,9.97897
1,65536,100,inf,2.5,1,262,0,7.4092,3.2139,25.343,105.949,3279098,100.07
1,65536,1000,inf,2.5,1,263,0,7.4807,3.1466,412.587,940.095,32771240,1000.1
1,131072,10,inf,2.5,1,264,0,17.3849,6.0201,8.6934,61.5221,656910,10.0237
1,131072,100,inf,2.5,1,265,0,15.533,5.6519,96.0422,251.172,6556008,100.037
1,131072,1000,inf,2.5,1,266,0,16.1103,6.0025,730.099,1328.23,65534425,999.976
1,262144,10,inf,2.5,1,267,0,31.5942,11.7171,16.8742,125.411,1309697,9.9922
1,262144,100,inf,2.5,1,268,0,31.027,11.8043,64.9281,551.965,13107305,100.001
1,262144,1000,inf,2.5,1,269,0,34.6787,11.711,987.779,2968.48,131079351,1000.06
1,524288,10,inf,2.5,1,270,0,68.5185,23.1685,31.1453,289.8,2621024,9.99841
1,524288,100,inf,2.5,1,271,0,67.5525,23.936,274.626,1429.31,26207458,99.9735
1,524288,1000,inf,2.5,1,272,0,66.733,23.4472,1703.78,6939.65,262152461,1000.03
1,1048576,10,inf,2.5,1,273,0,128.736,46.3489,59.8233,591.079,5236325,9.9875
1,1048576,100,inf,2.5,1,274,0,128.371,47.3902,231.426,3002.63,52424689,99.9922
1,1048576,1000,inf,2.5,1,275,0,133.934,48.66,2646.77,15750.3,524300894,1000.02
1,32768,2,inf,2.5,1,276,1,5.8357,1.9325,2.5799,15.5668,32403,1.97772
1,32768,4,inf,2.5,1,277,1,4.3858,1.5179,2.4143,10.3416,65730,4.01184
1,32768,8,inf,2.5,1,278,1,3.9235,1.4348,1.4767,11.3739,131140,8.00415
1,32768,16,inf,2.5,1,279,1,4.0654,1.5625,3.0576,15.4685,262118,15.9984
1,32768,32,inf,2.5,1,280,1,4.1016,1.6163,7.365,21.9692,524515,32.0139
1,32768,64,inf,2.5,1,281,1,4.1503,1.4688,12.1697,34.0322,1047572,63.9387
1,32768,128,inf,2.5,1,282,1,3.8721,1.4614,16.0278,51.9058,2094553,127.841
1,32768,256,inf,2.5,1,283,1,3.8818,1.459,76.02,84.5366,4194249,255.997
1,32768,512,inf,2.5,1,284,1,3.9109,1.4971,135.396,224.147,8384165,511.729
1,32768,1024,inf,2.5,1,285,1,3.9184,1.4692,292.155,418.917,16776351,1023.95
1,32768,2048,inf,2.5,1,286,1,4.294,1.459,669.941,803.897,33550243,2047.74
1,32768,4096,inf,2.5,1,287,1,3.9731,1.4567,2147.21,1536.62,67097177,4095.29
1,32768,10,inf,2.5,1,288,2,3.8934,1.4252,2.291,13.21,163946,10.0065
1,32768,10,5,2.5,1,289,2,3.9193,1.4595,10.2256,103.978,163593,9.98492
1,32768,10,4.5,2.5,1,290,2,3.8376,1.7759,7.4212,116.57,164239,10.0244
1,32768,10,4,2.5,1,291,2,3.8188,1.4242,8.0529,105.895,163653,9.98859
1,32768,10,3.5,2.5,1,292,2,4.2491,1.4604,13.7905,113.555,164259,10.0256
1,32768,10,3,2.5,1,293,2,3.8112,1.4566,8.2096,107.311,163215,9.96185
1,32768,10,2.5,2.5,1,294,2,3.9708,1.5063,8.0821,107.115,163388,9.97241
1,32768,10,2,2.5,1,295,2,4.1442,1.4571,3.8205,65.0351,164120,10.0171
1,32768,10,inf,2.5,1,296,3,3.9916,1.5337,2.5188,13.2067,162977,9.94733
2,32768,10,inf,2.5,1,297,3,4.1957,1.9232,3.2473,27.1003,163442,9.97571
3,32768,10,inf,2.5,1,298,3,3.8363,2.4474,32.7248,81.772,163645,9.9881
4,32768,10,inf,2.5,1,299,3,3.8182,2.8495,85.7572,475.065,163374,9.97156
5,32768,10,inf,2.5,1,300,3,3.9239,3.648,451.83,1590.02,163285,9.96613
1,32768,10,inf,2.5,1,301,4,4.1405,1.4238,7.6883,14.0605,163655,9.98871
2,32768,10,inf,2.5,1,302,4,3.7658,2.3736,4.3993,26.4367,163898,10.0035
