dimension,n,avgDeg,alpha,ple,threads,seed,plot,TimeWeights,TimePositions,TimeBinary,TimePre,TimeEdges,TimeTotal,GenNumEdge,GenAvgDeg
1,32768,10,inf,2.5,1,130,0,4.1642,1.336,1.5963,2.1992,4.628,14.3916,164326,10.0297
1,32768,100,inf,2.5,1,131,0,4.0246,1.3381,15.6188,1.7275,16.5125,39.6902,1638154,99.985
1,32768,1000,inf,2.5,1,132,0,3.5948,1.2953,313.876,1.4785,155.249,475.955,16382079,999.883
1,65536,10,inf,2.5,1,133,0,7.7256,2.6773,3.7862,4.8009,9.6474,29.6293,327618,9.99811
1,65536,100,inf,2.5,1,134,0,7.6044,2.6709,45.6287,3.9658,33.9515,94.7608,3276037,99.9767
1,65536,1000,inf,2.5,1,135,0,7.3127,2.6486,569.404,3.3354,197.396,781.045,32771392,1000.1
1,131072,10,inf,2.5,1,136,0,15.1615,5.3942,5.132,11.9003,18.4947,57.9997,656300,10.0143
1,131072,100,inf,2.5,1,137,0,14.5596,5.2216,28.4439,9.189,68.4282,127.751,6555407,100.028
1,131072,1000,inf,2.5,1,138,0,15.1458,5.1821,738.274,8.0069,414.106,1182.77,65544629,1000.13
1,262144,10,inf,2.5,1,139,0,30.3305,10.9407,15.8085,25.78,38.12,124.937,1311602,10.0067
1,262144,100,inf,2.5,1,140,0,29.6014,10.9426,63.6535,20.2114,139.238,267.526,13109775,100.02
1,262144,1000,inf,2.5,1,141,0,29.2902,10.7224,1148.47,18.2108,842.046,2052.6,131078654,1000.05
1,524288,10,inf,2.5,1,142,0,60.1943,21.7109,20.25,54.616,75.5085,240.333,2622617,10.0045
1,524288,100,inf,2.5,1,143,0,58.0291,21.6343,639.414,44.9744,284.718,1056.58,26207233,99.9727
1,524288,1000,inf,2.5,1,144,0,58.5702,21.1043,2139.77,42.681,1819.45,4089.89,262110056,999.871
1,1048576,10,inf,2.5,1,145,0,123.663,47.1722,42.8235,170.684,158.444,564.852,5239113,9.99282
1,1048576,100,inf,2.5,1,146,0,122.317,65.6501,436.418,126.279,599.905,1371.38,52427984,99.9984
1,1048576,1000,inf,2.5,1,147,0,122.356,65.491,3891.81,98.1298,3553.5,7752.21,524300434,1000.02
1,32768,2,inf,2.5,1,148,1,3.968,1.6408,1.8532,3.2598,7.1481,18.4149,32480,1.98242
1,32768,4,inf,2.5,1,149,1,4.1628,1.4803,1.7276,2.5191,5.1293,15.519,65876,4.02075
1,32768,8,inf,2.5,1,150,1,4.0951,1.8959,1.9547,2.0912,4.3928,14.8976,131294,8.01355
1,32768,16,inf,2.5,1,151,1,3.7649,1.812,2.4125,2.451,4.8622,15.7741,262281,16.0084
1,32768,32,inf,2.5,1,152,1,3.8378,1.4497,3.8103,1.8792,6.739,18.1982,524358,32.0043
1,32768,64,inf,2.5,1,153,1,3.7617,1.799,12.4948,1.9107,10.744,31.2069,1049375,64.0488
1,32768,128,inf,2.5,1,154,1,3.8651,1.441,49.6246,2.0675,17.5597,75.0257,2099792,128.161
1,32768,256,inf,2.5,1,155,1,3.7208,1.3311,41.3328,2.0109,28.8583,77.7099,4196010,256.104
1,32768,512,inf,2.5,1,156,1,4.0627,1.2975,147.558,1.5629,82.6259,237.567,8394897,512.384
1,32768,1024,inf,2.5,1,157,1,3.8631,1.4243,316.642,1.5244,157.553,481.832,16773202,1023.76
1,32768,2048,inf,2.5,1,158,1,3.8373,1.3871,735.074,1.4656,297.518,1039.77,33557407,2048.18
1,32768,4096,inf,2.5,1,159,1,3.7778,1.3974,2276.39,1.4107,544.508,2827.96,67126390,4097.07
1,32768,10,inf,2.5,1,160,2,3.8112,1.4605,1.8666,2.3027,4.9303,14.8281,164196,10.0217
1,32768,10,5,2.5,1,161,2,3.9884,1.4122,8.1669,2.4784,92.4523,109.004,163692,9.99097
1,32768,10,4.5,2.5,1,162,2,3.6583,1.4233,8.8519,2.1426,97.0653,113.643,164086,10.015
1,32768,10,4,2.5,1,163,2,3.7412,1.4224,9.1626,2.2906,86.7428,103.848,163692,9.99097
1,32768,10,3.5,2.5,1,164,2,4.1981,1.3018,9.7929,2.0878,85.3664,103.241,163001,9.94879
1,32768,10,3,2.5,1,165,2,4.1192,1.5133,7.9883,2.0623,88.0177,104.191,164329,10.0298
1,32768,10,2.5,2.5,1,166,2,3.7741,1.3018,14.6778,2.2103,84.8955,107.366,163156,9.95825
1,32768,10,2,2.5,1,167,2,3.7825,1.7308,3.3595,2.4431,50.5972,62.4176,163983,10.0087
1,32768,10,inf,2.5,1,168,3,3.7366,1.428,2.0453,2.4621,4.6776,14.873,163945,10.0064
2,32768,10,inf,2.5,1,169,3,4.1261,1.9344,2.7687,2.6151,14.5205,26.7807,163629,9.98712
3,32768,10,inf,2.5,1,170,3,3.8567,2.52,43.4055,3.0757,60.4522,113.789,164273,10.0264
4,32768,10,inf,2.5,1,171,3,4.0593,2.7841,85.8416,20.6516,385.568,499.427,163497,9.97906
5,32768,10,inf,2.5,1,172,3,4.1336,3.1902,446.322,9.76,1278.42,1742.35,163939,10.006
1,32768,10,inf,2.5,1,173,4,3.7255,1.3867,1.7127,2.6546,4.5399,14.4775,164655,10.0497
2,32768,10,inf,2.5,1,174,4,3.8349,1.8611,2.5618,2.6352,14.2571,25.6829,163934,10.0057
3,32768,10,inf,2.5,1,175,4,3.9216,2.2901,28.2027,3.3104,60.0251,98.2113,164427,10.0358
4,32768,10,inf,2.5,1,176,4,3.9161,2.7043,89.8287,6.0665,386.617,489.654,163290,9.96643
5,32768,10,inf,2.5,1,177,4,3.59,3.1462,463.933,6.8485,1279.5,1757.54,163773,9.99591
1,32768,10,inf,2.5,2,178,4,3.8163,1.3895,1.9965,2.265,2.566,12.4916,164117,10.0169
2,32768,10,inf,2.5,2,179,4,3.7138,2.0508,12.276,2.2349,7.8581,28.6233,162715,9.93134
3,32768,10,inf,2.5,2,180,4,3.7203,2.3462,24.4781,3.2821,33.4029,67.7004,163317,9.96808
4,32768,10,inf,2.5,2,181,4,3.6555,2.7692,97.0523,6.1505,233.108,343.255,162815,9.93744
5,32768,10,inf,2.5,2,182,4,3.9722,3.2454,478.64,7.1925,847.279,1340.89,163242,9.9635
1,32768,10,inf,2.5,3,183,4,3.8414,1.4246,1.6835,2.1431,1.9358,11.5311,163679,9.99017
2,32768,10,inf,2.5,3,184,4,3.9745,1.9691,4.3043,2.534,6.0197,19.2729,163808,9.99805
3,32768,10,inf,2.5,3,185,4,3.7977,2.4528,33.7003,2.9709,25.3728,68.7671,163871,10.0019
4,32768,10,inf,2.5,3,186,4,3.6717,2.7734,94.3991,6.0573,187.524,294.962,163955,10.007
5,32768,10,inf,2.5,3,187,4,4.1294,3.2867,486.727,7.295,655.261,1157.24,163816,9.99854
1,32768,10,inf,2.5,4,188,4,3.7556,1.4252,2.4171,2.6691,1.4877,12.2366,164315,10.029
2,32768,10,inf,2.5,4,189,4,3.764,1.9464,2.2262,2.4561,4.3455,15.2325,163877,10.0023
3,32768,10,inf,2.5,4,190,4,3.7825,2.3907,25.6715,3.4235,18.7264,54.4686,164541,10.0428
4,32768,10,inf,2.5,4,191,4,3.7249,2.7706,102.919,6.4724,131.191,247.615,163284,9.96606
5,32768,10,inf,2.5,4,192,4,3.6619,3.2302,459.995,6.8285,492.566,966.813,163165,9.9588
1,32768,10,inf,2.5,5,193,4,3.8178,1.3686,1.9558,2.265,1.3885,11.2816,163879,10.0024
2,32768,10,inf,2.5,5,194,4,4.0283,1.9386,3.3061,2.451,3.822,16.0339,163493,9.97882
3,32768,10,inf,2.5,5,195,4,4.0237,2.4213,30.2795,3.0048,15.9805,56.1948,163667,9.98944
4,32768,10,inf,2.5,5,196,4,3.7566,2.8549,100.47,6.4701,113.104,227.204,163697,9.99127
5,32768,10,inf,2.5,5,197,4,4.0482,3.3141,439.181,7.1791,448.082,902.654,164033,10.0118
1,32768,10,inf,2.5,6,198,4,3.7978,1.3737,7.5659,1.9469,1.4971,16.6637,163970,10.0079
2,32768,10,inf,2.5,6,199,4,3.8075,1.9529,7.0661,2.2311,3.9268,19.501,163070,9.953
3,32768,10,inf,2.5,6,200,4,3.7537,2.3866,27.2218,2.9857,13.7911,50.6207,164734,10.0546
4,32768,10,inf,2.5,6,201,4,3.7617,2.847,97.837,6.0986,97.1511,208.24,163170,9.95911
5,32768,10,inf,2.5,6,202,4,3.7723,3.5682,445.319,7.1894,393.085,853.517,163948,10.0066
1,32768,10,2,2.5,1,203,5,3.9393,1.6811,3.8813,2.3178,50.0416,62.3593,163701,9.99152
2,32768,10,2,2.5,1,204,5,3.5719,2.2034,2.9251,2.3633,166.843,178.391,163330,9.96887
3,32768,10,2,2.5,1,205,5,3.5687,2.2919,7.7074,3.0327,735.864,752.952,163755,9.99481
4,32768,10,2,2.5,1,206,5,3.5984,3.0088,10.2409,6.5275,3903.88,3927.78,163891,10.0031
5,32768,10,2,2.5,1,207,5,3.5697,3.1777,44.8139,6.892,18362.1,18421.1,163725,9.99298
1,32768,10,2,2.5,2,208,5,3.7235,1.7173,3.055,2.1588,25.8728,37.0301,163374,9.97156
2,32768,10,2,2.5,2,209,5,4.12,1.8903,8.7611,2.4594,89.3403,107.056,164283,10.027
3,32768,10,2,2.5,2,210,5,3.6675,2.3443,32.6006,3.0971,431.597,473.811,162865,9.94049
4,32768,10,2,2.5,2,211,5,3.9957,2.7743,30.565,6.5392,2511.92,2556.34,163733,9.99347
5,32768,10,2,2.5,2,212,5,3.6907,3.3169,52.9081,7.4523,12637.6,12705.5,163833,9.99957
1,32768,10,2,2.5,3,213,5,3.8502,1.4599,3.1982,2.2669,21.556,32.839,164267,10.0261
2,32768,10,2,2.5,3,214,5,3.7848,1.8935,7.2816,2.534,68.6854,84.6604,162963,9.94647
3,32768,10,2,2.5,3,215,5,3.661,2.6666,4.1613,3.0674,326.936,340.993,164462,10.038
4,32768,10,2,2.5,3,216,5,3.6615,2.7992,32.1614,6.5516,2054.99,2100.7,162933,9.94464
5,32768,10,2,2.5,3,217,5,3.8019,3.2598,65.2666,6.969,9444.87,9524.73,163883,10.0026
1,32768,10,2,2.5,4,218,5,3.7973,1.6668,2.9968,2.2484,15.5942,26.8421,163492,9.97876
2,32768,10,2,2.5,4,219,5,3.8144,1.9566,6.2348,2.4343,48.5543,63.4861,163528,9.98096
3,32768,10,2,2.5,4,220,5,3.7742,2.4052,11.8775,3.1379,249.123,270.825,163956,10.0071
4,32768,10,2,2.5,4,221,5,3.7597,2.8439,16.4884,6.5933,1423.02,1453.27,163800,9.99756
5,32768,10,2,2.5,4,222,5,3.801,3.6294,85.4646,6.9588,7286.45,7386.87,163731,9.99335
1,32768,10,2,2.5,5,223,5,4.2124,1.3932,2.5029,2.2033,14.5386,25.3728,163328,9.96875
2,32768,10,2,2.5,5,224,5,3.758,1.9353,4.4244,2.7983,42.2832,55.6911,163054,9.95203
3,32768,10,2,2.5,5,225,5,3.7522,2.6677,8.8802,3.1509,214.098,233.064,163631,9.98724
4,32768,10,2,2.5,5,226,5,3.7668,3.0794,27.2107,6.9603,1266.26,1307.86,164430,10.036
5,32768,10,2,2.5,5,227,5,3.7547,3.3145,52.2946,7.2682,6731.66,6798.89,163741,9.99396
1,32768,10,2,2.5,6,228,5,3.8146,1.377,2.682,2.2363,12.9183,23.6356,164728,10.0542
2,32768,10,2,2.5,6,229,5,3.7658,1.94,3.3712,3.2371,37.0471,49.8579,163889,10.003
3,32768,10,2,2.5,6,230,5,3.7732,2.4028,14.8257,3.3712,188.217,213.096,163744,9.99414
4,32768,10,2,2.5,6,231,5,3.7705,2.8502,14.9691,6.7334,1169.57,1198.44,164236,10.0242
5,32768,10,2,2.5,6,232,5,3.782,3.3103,190.804,6.9092,5952.9,6158.28,163867,10.0016
1,1024,10,inf,2.5,1,233,0,0.1507,0.0492,0.0904,0.0626,0.1433,0.5128,5195,10.1465
1,1024,100,inf,2.5,1,234,0,0.1294,0.0468,2.342,0.0543,0.41,2.9988,51011,99.6309
1,2048,10,inf,2.5,1,235,0,0.2672,0.0908,0.2222,0.1164,0.2977,1.0222,10231,9.99121
1,2048,100,inf,2.5,1,236,0,0.2467,0.0891,3.9485,0.1048,0.8919,5.3091,102436,100.035
1,4096,10,inf,2.5,1,237,0,0.5663,0.1683,0.1363,0.2208,0.5203,1.6747,20419,9.97021
1,4096,100,inf,2.5,1,238,0,0.5291,0.1665,7.0766,0.2115,1.8342,9.881,204663,99.9331
1,4096,1000,inf,2.5,1,239,0,0.4587,0.167,101.273,0.186,12.9762,115.124,2046802,999.415
1,8192,10,inf,2.5,1,240,0,1.0774,0.3516,0.6052,0.4963,1.1617,3.8145,41081,10.0295
1,8192,100,inf,2.5,1,241,0,0.915,0.3506,7.4147,0.409,4.6085,13.8788,409406,99.9526
