host,iter,algo,n,avgDeg,alpha,PLE,R,T,TimeTotal,GenNumEdge,GenAvgDeg
gluten,2,NkOpt,100000000,10,1,3,34.1046,0.0,24670.8,500657208,10.0131
gluten,2,NkOpt,10000,100,1,3,11.0622,0.0,4.89829,503750,100.75
gluten,2,NkOpt,10000,100,1,3,11.0622,0.0,6.56972,519569,103.914
gluten,2,NkOpt,21544,100,1,3,12.6063,0.0,10.1501,1076422,99.9278
gluten,2,NkOpt,46415,100,1,3,14.1455,0.0,20.1849,2322615,100.08
gluten,2,NkOpt,100000,100,1,3,15.683,0.0,40.1351,5014879,100.298
gluten,2,NkOpt,215443,100,1,3,17.2191,0.0,76.3968,10733555,99.6417
gluten,2,NkOpt,464158,100,1,3,18.7545,0.0,178.745,23349745,100.611
gluten,2,NkOpt,1000000,100,1,3,20.2899,0.0,376.119,49840370,99.6807
gluten,2,NkOpt,2154434,100,1,3,21.825,0.0,801.277,107805726,100.078
gluten,2,NkOpt,4641588,100,1,3,23.36,0.0,1801.71,231734507,99.8514
gluten,2,NkOpt,10000000,100,1,3,24.8951,0.0,3841.11,500846644,100.169
gluten,2,NkOpt,21544346,100,1,3,26.4301,0.0,8011.48,1078778076,100.145
gluten,2,NkOpt,46415888,100,1,3,27.9655,0.0,17427,2319479442,99.9433
gluten,2,NkOpt,100000000,100,1,3,29.5006,0.0,38266.3,5004536423,100.091
gluten,2,NkOpt,21544,1000,1,3,7.93843,0.0,59.7541,10713559,994.575
gluten,2,NkOpt,46415,1000,1,3,9.50959,0.0,94.4207,23101866,995.448
gluten,2,NkOpt,100000,1000,1,3,11.0624,0.0,169.017,50380051,1007.6
gluten,2,NkOpt,215443,1000,1,3,12.6062,0.0,361.542,107749404,1000.26
gluten,2,NkOpt,464158,1000,1,3,14.1456,0.0,813.642,230582785,993.553
gluten,2,NkOpt,1000000,1000,1,3,15.6828,0.0,1757.98,500128115,1000.26
gluten,2,NkOpt,2154434,1000,1,3,17.2189,0.0,3741.35,1081789991,1004.25
gluten,2,NkOpt,4641588,1000,1,3,18.7545,0.0,8035.27,2324850370,1001.75
gluten,2,NkOpt,10000000,1000,1,3,20.2899,0.0,17106.5,5010783097,1002.16
gluten,2,NkOpt,21544346,1000,1,3,21.8251,0.0,35842.5,10764313963,999.27
gluten,2,NkOpt,46415888,1000,1,3,23.3602,0.0,77047.2,23199378594,999.631
gluten,2,NkOpt,100000000,1000,1,3,24.8952,0.0,166398,49991013898,999.82
gluten,3,NkOpt,10000,10,0.6,2.2,19.2056,0.0,3.2904,51927,10.3854
gluten,3,NkOpt,10000,10,0.6,2.2,19.2056,0.0,4.11898,57754,11.5508
gluten,3,NkOpt,21544,10,0.6,2.2,20.8558,0.0,6.65307,119164,11.0624
gluten,3,NkOpt,46415,10,0.6,2.2,22.4896,0.0,12.335,233015,10.0405
gluten,3,NkOpt,100000,10,0.6,2.2,24.112,0.0,25.6413,457728,9.15456
gluten,3,NkOpt,215443,10,0.6,2.2,25.7171,0.0,50.7341,1017392,9.44465
gluten,3,NkOpt,464158,10,0.6,2.2,27.3193,0.0,118.635,2328204,10.0319
gluten,3,NkOpt,1000000,10,0.6,2.2,28.9054,0.0,236.322,4969287,9.93857
gluten,3,NkOpt,2154434,10,0.6,2.2,30.488,0.0,556.223,11210085,10.4065
gluten,3,NkOpt,4641588,10,0.6,2.2,32.0655,0.0,1269.63,23586958,10.1633
gluten,3,NkOpt,10000000,10,0.6,2.2,33.6363,0.0,2635.92,48666859,9.73337
gluten,3,NkOpt,21544346,10,0.6,2.2,35.2051,0.0,5208.51,102015755,9.4703
gluten,3,NkOpt,46415888,10,0.6,2.2,36.7676,0.0,11581.7,262275492,11.3011
gluten,3,NkOpt,100000000,10,0.6,2.2,38.3262,0.0,24781.1,484438631,9.68877
gluten,3,NkOpt,10000,100,0.6,2.2,14.0942,0.0,6.1022,522164,104.433
gluten,3,NkOpt,10000,100,0.6,2.2,14.0942,0.0,7.07299,514744,102.949
gluten,3,NkOpt,21544,100,0.6,2.2,15.8307,0.0,13.9285,1118176,103.804
gluten,3,NkOpt,46415,100,0.6,2.2,17.531,0.0,24.2082,2204290,94.9818
gluten,3,NkOpt,100000,100,0.6,2.2,19.2046,0.0,47.8568,5041987,100.84
gluten,3,NkOpt,215443,100,0.6,2.2,20.8564,0.0,80.6527,10098930,93.7504
gluten,3,NkOpt,464158,100,0.6,2.2,22.4907,0.0,197.745,23199293,99.9629
gluten,3,NkOpt,1000000,100,0.6,2.2,24.1109,0.0,428.227,48516548,97.0331
gluten,3,NkOpt,2154434,100,0.6,2.2,25.7189,0.0,888.382,106424120,98.7954
gluten,3,NkOpt,4641588,100,0.6,2.2,27.3174,0.0,2032.58,234087723,100.865
gluten,3,NkOpt,10000000,100,0.6,2.2,28.9074,0.0,4289.42,492953620,98.5907
gluten,3,NkOpt,21544346,100,0.6,2.2,30.4901,0.0,8819.06,1082377822,100.479
gluten,3,NkOpt,46415888,100,0.6,2.2,32.0667,0.0,19310.3,2342949268,100.955
gluten,3,NkOpt,100000000,100,0.6,2.2,33.6378,0.0,42551.7,4902935597,98.0587
gluten,3,NkOpt,21544,1000,0.6,2.2,10.4538,0.0,53.6305,9798902,909.664
gluten,3,NkOpt,46415,1000,0.6,2.2,12.309,0.0,96.0218,21296132,917.64
gluten,3,NkOpt,100000,1000,0.6,2.2,14.0941,0.0,191.929,48494985,969.9
gluten,3,NkOpt,215443,1000,0.6,2.2,15.8305,0.0,402.254,103419914,960.068
gluten,3,NkOpt,464158,1000,0.6,2.2,17.5312,0.0,869.998,227426575,979.953
gluten,3,NkOpt,1000000,1000,0.6,2.2,19.2046,0.0,1831.31,482875800,965.752
gluten,3,NkOpt,2154434,1000,0.6,2.2,20.8563,0.0,4014.93,1052348474,976.914
gluten,3,NkOpt,4641588,1000,0.6,2.2,22.4907,0.0,8587.16,2256471162,972.284
gluten,3,NkOpt,10000000,1000,0.6,2.2,24.1108,0.0,18681.7,4952761890,990.552
gluten,3,NkOpt,21544346,1000,0.6,2.2,25.719,0.0,39941.5,10554291333,979.774
gluten,3,NkOpt,46415888,1000,0.6,2.2,27.3174,0.0,86888.4,22961521458,989.382
gluten,3,NkOpt,100000000,1000,0.6,2.2,28.9073,0.0,186562,49997607247,999.952
gluten,3,NkOpt,10000,10,1,3,15.683,0.0,3.34255,51079,10.2158
gluten,3,NkOpt,10000,10,1,3,15.683,0.0,3.53193,50106,10.0212
gluten,3,NkOpt,21544,10,1,3,17.2179,0.0,6.0956,107820,10.0093
gluten,3,NkOpt,46415,10,1,3,18.7527,0.0,11.7266,229048,9.86957
gluten,3,NkOpt,100000,10,1,3,20.2913,0.0,22.9409,492572,9.85144
gluten,3,NkOpt,215443,10,1,3,21.8265,0.0,43.8607,1075604,9.98504
gluten,3,NkOpt,464158,10,1,3,23.3616,0.0,106.415,2310815,9.95702
gluten,3,NkOpt,1000000,10,1,3,24.8968,0.0,209.724,4974255,9.94851
gluten,3,NkOpt,2154434,10,1,3,26.4319,0.0,485.622,10790291,10.0168
gluten,3,NkOpt,4641588,10,1,3,27.9671,0.0,1118.89,23198435,9.9959
gluten,3,NkOpt,10000000,10,1,3,29.5022,0.0,2561.41,50042864,10.0086
gluten,3,NkOpt,21544346,10,1,3,31.0374,0.0,5050.33,107773538,10.0048
gluten,3,NkOpt,46415888,10,1,3,32.5725,0.0,10726.2,231732895,9.98507
gluten,3,NkOpt,100000000,10,1,3,34.1046,0.0,24724.8,500196564,10.0039
gluten,3,NkOpt,10000,100,1,3,11.0622,0.0,5.64475,504498,100.9
gluten,3,NkOpt,10000,100,1,3,11.0622,0.0,6.07151,517487,103.497
gluten,3,NkOpt,21544,100,1,3,12.6063,0.0,10.5553,1055433,97.9793
gluten,3,NkOpt,46415,100,1,3,14.1455,0.0,21.3648,2326463,100.246
gluten,3,NkOpt,100000,100,1,3,15.683,0.0,38.8117,5031633,100.633
