host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
gluten,nkgen,0,0.9,3.0,2154434,10,0,8514528,378,1996,758533
gluten,nkgen,0,0.9,3.0,4641588,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,10000000,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,21544346,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,46415888,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,100000000,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,2154,100,0,43335,30,4,98
gluten,nkgen,0,0.9,3.0,4641,100,0,106044,22,5,162
gluten,nkgen,0,0.9,3.0,10000,100,0,257647,17,9,387
gluten,nkgen,0,0.9,3.0,21544,100,0,624537,20,33,1059
gluten,nkgen,0,0.9,3.0,46415,100,0,1369202,35,34,3462
gluten,nkgen,0,0.9,3.0,100000,100,0,3124572,34,69,9281
gluten,nkgen,0,0.9,3.0,215443,100,0,7066702,56,183,28522
gluten,nkgen,0,0.9,3.0,464158,100,0,15843494,93,366,84531
gluten,nkgen,0,0.9,3.0,1000000,100,0,35505879,165,965,263551
gluten,nkgen,0,0.9,3.0,2154434,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,4641588,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,10000000,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,21544346,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,46415888,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,100000000,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,4641,1000,0,730071,6,4,269
gluten,nkgen,0,0.9,3.0,10000,1000,0,1924177,2,7,698
gluten,nkgen,0,0.9,3.0,21544,1000,0,4705153,4,14,1884
gluten,nkgen,0,0.9,3.0,46415,1000,0,11097642,8,35,5359
gluten,nkgen,0,0.9,3.0,100000,1000,0,26085070,17,68,14700
gluten,nkgen,0,0.9,3.0,215443,1000,0,59776309,53,221,41243
gluten,nkgen,0,0.9,3.0,464158,1000,0,137223160,86,358,114994
gluten,nkgen,0,0.9,3.0,1000000,1000,0,312667051,215,906,357888
gluten,nkgen,0,0.9,3.0,2154434,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,4641588,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,10000000,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,21544346,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,46415888,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,100000000,1000,0,-1,-1,-1,-1
gluten,nkgen,1,0.0,2.2,2154,10,0,13765,30,40,73
gluten,nkgen,1,0.0,2.2,4641,10,0,18712,1,0,2
gluten,nkgen,1,0.0,2.2,10000,10,0,45811,2,0,6
gluten,nkgen,1,0.0,2.2,21544,10,0,115930,4,1,11
gluten,nkgen,1,0.0,2.2,46415,10,0,243099,8,2,20
gluten,nkgen,1,0.0,2.2,100000,10,0,487414,17,4,42
gluten,nkgen,1,0.0,2.2,215443,10,0,1006154,53,30,128
gluten,nkgen,1,0.0,2.2,464158,10,0,2129752,95,26,230
gluten,nkgen,1,0.0,2.2,1000000,10,0,4597415,196,52,446
gluten,nkgen,1,0.0,2.2,2154434,10,0,11160017,428,103,958
gluten,nkgen,1,0.0,2.2,4641588,10,0,22127120,959,267,2137
gluten,nkgen,1,0.0,2.2,10000000,10,0,50117932,2003,611,4573
gluten,nkgen,1,0.0,2.2,21544346,10,0,111334222,4220,1273,9415
gluten,nkgen,1,0.0,2.2,46415888,10,0,223255025,9022,2632,19949
gluten,nkgen,1,0.0,2.2,100000000,10,0,490518095,19778,5547,43964
gluten,nkgen,1,0.0,2.2,2154,100,0,84462,27,14,44
gluten,nkgen,1,0.0,2.2,4641,100,0,224384,1,0,10
gluten,nkgen,1,0.0,2.2,10000,100,0,512748,4,0,19
gluten,nkgen,1,0.0,2.2,21544,100,0,1047634,7,1,34
gluten,nkgen,1,0.0,2.2,46415,100,0,2458943,12,1,66
gluten,nkgen,1,0.0,2.2,100000,100,0,4874204,18,4,111
gluten,nkgen,1,0.0,2.2,215443,100,0,10260938,37,13,263
gluten,nkgen,1,0.0,2.2,464158,100,0,22686659,80,26,560
gluten,nkgen,1,0.0,2.2,1000000,100,0,49977779,182,51,1072
gluten,nkgen,1,0.0,2.2,2154434,100,0,107861430,433,82,2163
gluten,nkgen,1,0.0,2.2,4641588,100,0,225079577,907,284,4659
gluten,nkgen,1,0.0,2.2,10000000,100,0,488600394,2014,535,9764
gluten,nkgen,1,0.0,2.2,21544346,100,0,1059874888,4473,1161,20947
gluten,nkgen,1,0.0,2.2,46415888,100,0,2309923533,9778,2479,45684
gluten,nkgen,1,0.0,2.2,100000000,100,0,4937969475,21397,5511,97967
gluten,nkgen,1,0.0,2.2,4641,1000,0,2027361,4,0,49
gluten,nkgen,1,0.0,2.2,10000,1000,0,4500336,2,0,77
gluten,nkgen,1,0.0,2.2,21544,1000,0,9665907,4,0,135
