host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
compute5,nkgen,0,0.5,3.0,4641588,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,10000000,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,21544346,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,46415888,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,100000000,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,4641,1000,0,1818911,0,3,2030
compute5,nkgen,0,0.5,3.0,10000,1000,0,4377443,1,6,5759
compute5,nkgen,0,0.5,3.0,21544,1000,0,10087283,4,12,14784
compute5,nkgen,0,0.5,3.0,46415,1000,0,22455905,9,30,41982
compute5,nkgen,0,0.5,3.0,100000,1000,0,49469694,20,57,109211
compute5,nkgen,0,0.5,3.0,215443,1000,0,107024380,44,149,314797
compute5,nkgen,0,0.5,3.0,464158,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,1000000,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,2154434,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,4641588,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,10000000,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,21544346,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,46415888,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,100000000,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,2154,10,0,2546,0,1,189
compute5,nkgen,0,0.9,2.2,4641,10,0,7209,0,2,544
compute5,nkgen,0,0.9,2.2,10000,10,0,18748,1,6,1650
compute5,nkgen,0,0.9,2.2,21544,10,0,42377,4,12,4905
compute5,nkgen,0,0.9,2.2,46415,10,0,103788,9,31,16199
compute5,nkgen,0,0.9,2.2,100000,10,0,232984,19,57,48109
compute5,nkgen,0,0.9,2.2,215443,10,0,499768,44,153,156394
compute5,nkgen,0,0.9,2.2,464158,10,0,1200768,100,325,473803
compute5,nkgen,0,0.9,2.2,1000000,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,2154434,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,4641588,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,10000000,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,21544346,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,46415888,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,100000000,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,2154,100,0,18879,0,1,198
compute5,nkgen,0,0.9,2.2,4641,100,0,48419,0,3,638
compute5,nkgen,0,0.9,2.2,10000,100,0,117427,1,6,2044
compute5,nkgen,0,0.9,2.2,21544,100,0,308928,4,12,6299
compute5,nkgen,0,0.9,2.2,46415,100,0,777183,8,30,18861
compute5,nkgen,0,0.9,2.2,100000,100,0,1726008,20,57,53329
compute5,nkgen,0,0.9,2.2,215443,100,0,3956612,44,154,167327
compute5,nkgen,0,0.9,2.2,464158,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,1000000,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,2154434,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,4641588,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,10000000,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,21544346,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,46415888,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,100000000,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,4641,1000,0,321024,0,2,922
compute5,nkgen,0,0.9,2.2,10000,1000,0,814453,1,6,2837
compute5,nkgen,0,0.9,2.2,21544,1000,0,2184361,4,12,8397
compute5,nkgen,0,0.9,2.2,46415,1000,0,5389848,8,30,26213
compute5,nkgen,0,0.9,2.2,100000,1000,0,13155043,20,58,76026
compute5,nkgen,0,0.9,2.2,215443,1000,0,31743000,44,150,241364
compute5,nkgen,0,0.9,2.2,464158,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.9,2.2,1000000,1000,0,-1,-1,-1,-1
