[CSV]algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
[CSV]hypergirgs,compute5,0,1090,4641588,1000,0.6,2.2,0.5,24.0527,175399,336.198,656.535,174405,1616628405,696.584
[CSV]hypergirgs,compute5,0,1140,10000,10,1,3,0.5,16.5881,16.8348,0.686762,5.21353,10.9286,46882,9.3764
[CSV]hypergirgs,compute5,0,1150,21544,10,1,3,0.5,18.1231,33.7093,1.38466,8.265,24.0521,108103,10.0356
[CSV]hypergirgs,compute5,0,1160,46415,10,1,3,0.5,19.6582,65.5974,2.98475,12.0721,50.5326,225194,9.7035
[CSV]hypergirgs,compute5,0,1170,100000,10,1,3,0.5,21.1933,140.822,5.45418,22.8551,112.504,499647,9.99294
[CSV]hypergirgs,compute5,0,1180,215443,10,1,3,0.5,22.7283,286.63,10.8304,37.8878,237.9,1072185,9.95331
[CSV]hypergirgs,compute5,0,1190,464158,10,1,3,0.5,24.2634,604.966,23.3048,70.0085,511.637,2324844,10.0175
[CSV]hypergirgs,compute5,0,1200,1000000,10,1,3,0.5,25.7984,1320.95,50.9927,146.755,1122.94,4995667,9.99133
[CSV]hypergirgs,compute5,0,1210,2154434,10,1,3,0.5,27.3335,2829.73,111.677,305.059,2411.56,10758433,9.98725
[CSV]hypergirgs,compute5,0,1220,4641588,10,1,3,0.5,28.8686,6278.47,256.765,657.25,5363.59,23175105,9.98585
[CSV]hypergirgs,compute5,0,1230,10000000,10,1,3,0.5,30.4036,13339,550.61,1401.78,11385.1,50157296,10.0315
[CSV]hypergirgs,compute5,0,1240,21544346,10,1,3,0.5,31.9387,28817.8,1183.13,3124.33,24507.8,107862308,10.0131
[CSV]hypergirgs,compute5,0,1250,46415888,10,1,3,0.5,33.4737,61795.9,2546.77,7065.35,52178.7,232117428,10.0016
[CSV]hypergirgs,compute5,0,1260,100000000,10,1,3,0.5,35.0088,133622,5434.59,14948.5,113229,500241680,10.0048
[CSV]hypergirgs,compute5,0,1270,10000,100,1,3,0.5,11.9829,62.8954,0.694849,2.95987,59.2349,496507,99.3014
[CSV]hypergirgs,compute5,0,1280,21544,100,1,3,0.5,13.518,135.917,1.37091,4.99144,129.547,1050160,97.4898
[CSV]hypergirgs,compute5,0,1290,46415,100,1,3,0.5,15.053,298.843,2.98969,8.99157,286.854,2302876,99.2298
[CSV]hypergirgs,compute5,0,1300,100000,100,1,3,0.5,16.5881,640.385,6.46987,16.2375,617.669,4909667,98.1933
[CSV]hypergirgs,compute5,0,1310,215443,100,1,3,0.5,18.1232,1405.58,14.1798,32.1515,1359.23,10780576,100.078
[CSV]hypergirgs,compute5,0,1320,464158,100,1,3,0.5,19.6582,3055.31,31.0802,69.668,2954.55,23268329,100.26
[CSV]hypergirgs,compute5,0,1330,1000000,100,1,3,0.5,21.1933,6589.35,57.6307,149.466,6381.99,50042436,100.085
[CSV]hypergirgs,compute5,0,1340,2154434,100,1,3,0.5,22.7283,14250.2,116.419,298.173,13834.4,107919935,100.184
[CSV]hypergirgs,compute5,0,1350,4641588,100,1,3,0.5,24.2634,30670.8,257.861,630.058,29782,231339118,99.681
[CSV]hypergirgs,compute5,0,1360,10000000,100,1,3,0.5,25.7984,65968.1,552.167,1337.18,64077.5,499375696,99.8751
[CSV]hypergirgs,compute5,0,1370,21544346,100,1,3,0.5,27.3335,142282,1176.28,2887.67,138216,1078178666,100.089
[CSV]hypergirgs,compute5,0,1400,21544,1000,1,3,0.5,8.91278,1015.31,1.46598,3.1726,1010.66,10007487,929.028
[CSV]hypergirgs,compute5,0,1410,46415,1000,1,3,0.5,10.4478,2462.93,3.0752,6.62624,2453.22,22719574,978.976
[CSV]hypergirgs,compute5,0,1420,100000,1000,1,3,0.5,11.9829,5648.96,6.69849,13.7011,5628.55,49287439,985.749
[CSV]hypergirgs,compute5,0,1430,215443,1000,1,3,0.5,13.518,12630.5,14.383,30.2915,12585.8,106300001,986.804
[CSV]hypergirgs,compute5,0,1440,464158,1000,1,3,0.5,15.053,27620.5,31.4285,63.6902,27525.4,229469722,988.757
[CSV]hypergirgs,compute5,0,1450,1000000,1000,1,3,0.5,16.5881,60274.4,67.8688,145.789,60060.5,498418855,996.838
[CSV]hypergirgs,compute5,0,1460,2154434,1000,1,3,0.5,18.1232,131176,149.234,313.841,130712,1075331950,998.25
[CSV]hypergirgs,compute5,0,1520,10000,10,0.6,2.2,0.9,24.5068,67.9722,0.722158,18.1249,49.113,18305,3.661
[CSV]hypergirgs,compute5,0,1530,21544,10,0.6,2.2,0.9,26.0419,124.327,1.38586,20.6788,102.249,41546,3.85685
[CSV]hypergirgs,compute5,0,1540,46415,10,0.6,2.2,0.9,27.5769,283.872,2.9979,30.0063,250.849,102450,4.41452
[CSV]hypergirgs,compute5,0,1550,100000,10,0.6,2.2,0.9,29.112,594.662,6.6159,44.0709,543.937,278305,5.5661
[CSV]hypergirgs,compute5,0,1560,215443,10,0.6,2.2,0.9,30.6471,1212.15,14.2339,70.1965,1127.46,525201,4.87554
[CSV]hypergirgs,compute5,0,1570,464158,10,0.6,2.2,0.9,32.1821,2536.3,31.2331,125.785,2378.98,1196126,5.15396
[CSV]hypergirgs,compute5,0,1580,1000000,10,0.6,2.2,0.9,33.7172,5542.35,65.992,250.62,5225.12,2538204,5.07641
[CSV]hypergirgs,compute5,0,1590,2154434,10,0.6,2.2,0.9,35.2522,11873.8,126.422,501.563,11243.5,5963249,5.53579
[CSV]hypergirgs,compute5,0,1600,4641588,10,0.6,2.2,0.9,36.7873,26085.6,273.987,1088.36,24720.8,13925066,6.00013
[CSV]hypergirgs,compute5,0,1610,10000000,10,0.6,2.2,0.9,38.3224,54460.5,564.96,2248.82,51642.5,30722200,6.14444
[CSV]hypergirgs,compute5,0,1620,21544346,10,0.6,2.2,0.9,39.8574,137451,1182.84,5285.51,130973,68944440,6.40024
[CSV]hypergirgs,compute5,0,1650,10000,100,0.6,2.2,0.9,19.9017,41.7602,0.706631,9.57877,31.4656,138105,27.621
[CSV]hypergirgs,compute5,0,1660,21544,100,0.6,2.2,0.9,21.4367,85.1768,1.38264,12.6777,71.1062,301348,27.9751
[CSV]hypergirgs,compute5,0,1670,46415,100,0.6,2.2,0.9,22.9717,189.394,2.98815,18.3144,168.078,729749,31.4445
[CSV]hypergirgs,compute5,0,1680,100000,100,0.6,2.2,0.9,24.5068,435.386,6.53379,26.5299,402.303,1778740,35.5748
[CSV]hypergirgs,compute5,0,1690,215443,100,0.6,2.2,0.9,26.0419,970.981,14.2176,44.1905,912.543,4083829,37.911
[CSV]hypergirgs,compute5,0,1700,464158,100,0.6,2.2,0.9,27.5769,2321.44,31.2319,82.1184,2208.05,9948980,42.8689
[CSV]hypergirgs,compute5,0,1710,1000000,100,0.6,2.2,0.9,29.112,5335.02,67.9058,167.095,5099.74,22805813,45.6116
[CSV]hypergirgs,compute5,0,1720,2154434,100,0.6,2.2,0.9,30.6471,12133.2,147.693,340.065,11643.5,50983206,47.3286
[CSV]hypergirgs,compute5,0,1730,4641588,100,0.6,2.2,0.9,32.1821,27980.9,336.047,725.511,26918.2,118038881,50.8614
[CSV]hypergirgs,compute5,0,1740,10000000,100,0.6,2.2,0.9,33.7172,64787.4,703.917,1553.28,62528.4,270513304,54.1027
[CSV]hypergirgs,compute5,0,1780,21544,1000,0.6,2.2,0.9,16.8315,270.334,1.46563,7.83229,261.029,2135721,198.266
[CSV]hypergirgs,compute5,0,1790,46415,1000,0.6,2.2,0.9,18.3666,678.065,2.99428,11.9114,663.148,5134801,221.256
[CSV]hypergirgs,compute5,0,1800,100000,1000,0.6,2.2,0.9,19.9017,1739.15,6.56231,20.6274,1711.94,12774386,255.488
[CSV]hypergirgs,compute5,0,1810,215443,1000,0.6,2.2,0.9,21.4367,4322.6,14.306,39.1561,4269.12,30867608,286.55
[CSV]hypergirgs,compute5,0,1820,464158,1000,0.6,2.2,0.9,22.9718,10944.6,31.3866,74.1887,10839,76719535,330.575
[CSV]hypergirgs,compute5,0,1830,1000000,1000,0.6,2.2,0.9,24.5068,26700.1,68.0858,148.979,26482.8,183043555,366.087
[CSV]hypergirgs,compute5,0,1840,2154434,1000,0.6,2.2,0.9,26.0419,64274.2,147.992,306.531,63818,421646938,391.422
[CSV]hypergirgs,compute5,0,1850,4641588,1000,0.6,2.2,0.9,27.577,154912,336.025,651.112,153924,976247727,420.652
[CSV]hypergirgs,compute5,0,1900,10000,10,1,3,0.9,20.1124,24.4637,0.679149,7.82975,15.9492,31197,6.2394
[CSV]hypergirgs,compute5,0,1910,21544,10,1,3,0.9,21.6474,49.5873,1.14513,12.1577,36.2764,72002,6.68418
[CSV]hypergirgs,compute5,0,1920,46415,10,1,3,0.9,23.1825,96.3931,2.23121,15.675,78.4785,157806,6.79978
[CSV]hypergirgs,compute5,0,1930,100000,10,1,3,0.9,24.7176,213.496,4.80784,24.6421,184.032,358779,7.17558
[CSV]hypergirgs,compute5,0,1940,215443,10,1,3,0.9,26.2526,452.282,10.5776,41.6289,400.057,791296,7.34576
[CSV]hypergirgs,compute5,0,1950,464158,10,1,3,0.9,27.7877,978.272,23.3059,77.3521,877.594,1747606,7.53022
[CSV]hypergirgs,compute5,0,1960,1000000,10,1,3,0.9,29.3227,2118.81,50.9768,163.37,1904.19,3871128,7.74226
[CSV]hypergirgs,compute5,0,1970,2154434,10,1,3,0.9,30.8578,4626.97,111.355,335.745,4178.37,8538157,7.92613
[CSV]hypergirgs,compute5,0,1980,4641588,10,1,3,0.9,32.3928,10090.4,257.382,722.7,9109.2,18796769,8.09928
[CSV]hypergirgs,compute5,0,1990,10000000,10,1,3,0.9,33.9279,21916.6,549.057,1548.76,19817,41263206,8.25264
[CSV]hypergirgs,compute5,0,2000,21544346,10,1,3,0.9,35.463,48612.2,1185.62,3346.36,44077,90416000,8.39348
[CSV]hypergirgs,compute5,0,2010,46415888,10,1,3,0.9,36.998,106777,2537.97,7501.97,96730.9,198082017,8.5351
[CSV]hypergirgs,compute5,0,2030,10000,100,1,3,0.9,15.5072,47.8874,0.685191,4.85484,42.342,261119,52.2238
[CSV]hypergirgs,compute5,0,2040,21544,100,1,3,0.9,17.0422,109.067,1.37806,7.57564,100.105,594274,55.1684
[CSV]hypergirgs,compute5,0,2050,46415,100,1,3,0.9,18.5773,254.512,2.99118,11.8299,239.684,1399580,60.3072
[CSV]hypergirgs,compute5,0,2060,100000,100,1,3,0.9,20.1124,576.22,6.44427,20.1311,549.635,3114680,62.2936
[CSV]hypergirgs,compute5,0,2070,215443,100,1,3,0.9,21.6474,1326.91,11.6342,38.5704,1276.69,7067209,65.6063
[CSV]hypergirgs,compute5,0,2080,464158,100,1,3,0.9,23.1825,3029.78,23.8816,69.8636,2936.01,15907928,68.5453
[CSV]hypergirgs,compute5,0,2090,1000000,100,1,3,0.9,24.7176,6931.44,51.0892,146.956,6733.11,35584510,71.169
[CSV]hypergirgs,compute5,0,2100,2154434,100,1,3,0.9,26.2526,15734.7,111.902,301.93,15319.3,78939004,73.2805
[CSV]hypergirgs,compute5,0,2110,4641588,100,1,3,0.9,27.7877,35879.7,256.719,642.191,34979.9,175382928,75.5702
[CSV]hypergirgs,compute5,0,2120,10000000,100,1,3,0.9,29.3227,81360.8,549.995,1369.72,79439.9,387389390,77.4779
[CSV]hypergirgs,compute5,0,2130,21544346,100,1,3,0.9,30.8578,184546,1171.97,2960.47,180411,855221460,79.3917
[CSV]hypergirgs,compute5,0,2160,21544,1000,1,3,0.9,12.4371,607.035,1.44721,4.52582,601.054,4587102,425.836
[CSV]hypergirgs,compute5,0,2170,46415,1000,1,3,0.9,13.9721,1557.65,3.04284,8.31844,1546.28,11073177,477.138
[CSV]hypergirgs,compute5,0,2180,100000,1000,1,3,0.9,15.5072,3843.99,6.60028,15.585,3821.79,25843631,516.873
[CSV]hypergirgs,compute5,0,2190,215443,1000,1,3,0.9,17.0423,9306.61,14.5055,30.7947,9261.29,59814898,555.274
[CSV]hypergirgs,compute5,0,2200,464158,1000,1,3,0.9,18.5773,22118.8,31.3834,68.1865,22019.2,137643768,593.09
[CSV]hypergirgs,compute5,0,2210,1000000,1000,1,3,0.9,20.1124,51660.4,67.7661,149.639,51442.7,311564846,623.13
[CSV]hypergirgs,compute5,0,2220,2154434,1000,1,3,0.9,21.6474,120533,124.685,312.771,120095,706429414,655.791
[CSV]hypergirgs,compute5,1,2280,10000,10,0.6,2.2,0,19.2056,6.22518,0.729252,2.03898,3.45336,45750,9.15
[CSV]hypergirgs,compute5,1,2290,21544,10,0.6,2.2,0,20.8558,12.3744,1.38051,3.66243,7.32799,97105,9.01457
[CSV]hypergirgs,compute5,1,2300,46415,10,0.6,2.2,0,22.4896,25.8142,2.96439,7.18828,15.6575,229637,9.89495
[CSV]hypergirgs,compute5,1,2310,100000,10,0.6,2.2,0,24.112,54.3232,6.47594,13.7846,34.0565,516075,10.3215
[CSV]hypergirgs,compute5,1,2320,215443,10,0.6,2.2,0,25.7171,114.852,14.0121,27.1457,73.6877,990495,9.19496
[CSV]hypergirgs,compute5,1,2330,464158,10,0.6,2.2,0,27.3193,250.897,30.8443,59.979,160.068,2375157,10.2343
[CSV]hypergirgs,compute5,1,2340,1000000,10,0.6,2.2,0,28.9054,615.815,67.4935,141.415,406.651,5507438,11.0149
[CSV]hypergirgs,compute5,1,2350,2154434,10,0.6,2.2,0,30.488,1307.45,148.172,311.299,846.367,10620215,9.85894
[CSV]hypergirgs,compute5,1,2360,4641588,10,0.6,2.2,0,32.0655,2827.71,335.894,689.782,1800.9,25175384,10.8477
