host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
compute5,nkbin,1,0.9,2.2,21544,10,0,45275,3,1,94
compute5,nkbin,1,0.9,2.2,46415,10,0,88221,7,3,213
compute5,nkbin,1,0.9,2.2,100000,10,0,215277,17,8,525
compute5,nkbin,1,0.9,2.2,215443,10,0,508773,38,19,1317
compute5,nkbin,1,0.9,2.2,464158,10,0,1259732,89,47,3254
compute5,nkbin,1,0.9,2.2,1000000,10,0,2656353,204,112,6333
compute5,nkbin,1,0.9,2.2,2154434,10,0,5997688,471,262,15302
compute5,nkbin,1,0.9,2.2,4641588,10,0,13697176,1123,588,37502
compute5,nkbin,1,0.9,2.2,10000000,10,0,31116709,2686,1266,91161
compute5,nkbin,1,0.9,2.2,21544346,10,0,75837772,6347,2776,176760
compute5,nkbin,1,0.9,2.2,46415888,10,0,157549028,14678,6331,412138
compute5,nkbin,1,0.9,2.2,100000000,10,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,2.2,2154,100,0,21547,0,0,19
compute5,nkbin,1,0.9,2.2,4641,100,0,51823,0,0,47
compute5,nkbin,1,0.9,2.2,10000,100,0,129138,1,0,120
compute5,nkbin,1,0.9,2.2,21544,100,0,307526,3,1,264
compute5,nkbin,1,0.9,2.2,46415,100,0,731982,7,4,621
compute5,nkbin,1,0.9,2.2,100000,100,0,1751586,17,11,1516
compute5,nkbin,1,0.9,2.2,215443,100,0,4151932,39,23,3720
compute5,nkbin,1,0.9,2.2,464158,100,0,9971736,91,53,9173
compute5,nkbin,1,0.9,2.2,1000000,100,0,22432594,209,114,19580
compute5,nkbin,1,0.9,2.2,2154434,100,0,50795661,497,258,46004
compute5,nkbin,1,0.9,2.2,4641588,100,0,118354354,1164,567,111156
compute5,nkbin,1,0.9,2.2,10000000,100,0,270291850,2777,1305,265230
compute5,nkbin,1,0.9,2.2,21544346,100,0,614805085,6441,2841,564448
compute5,nkbin,1,0.9,2.2,46415888,100,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,2.2,100000000,100,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,2.2,4641,1000,0,308160,0,0,173
compute5,nkbin,1,0.9,2.2,10000,1000,0,847161,1,0,475
compute5,nkbin,1,0.9,2.2,21544,1000,0,2141367,3,2,1169
compute5,nkbin,1,0.9,2.2,46415,1000,0,5289078,7,4,2815
compute5,nkbin,1,0.9,2.2,100000,1000,0,13469420,17,10,7068
compute5,nkbin,1,0.9,2.2,215443,1000,0,32095735,39,23,17283
