[CSV]host,iter,algo,n,avgDeg,alpha,PLE,R,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]compute5,1,NkOpt,215443,100,1,3,17.2191,0.0,332.61,10851328,100.735
[CSV]compute5,1,NkOpt,464158,100,1,3,18.7545,0.0,731.743,23183706,99.8958
[CSV]compute5,1,NkOpt,1000000,100,1,3,20.2899,0.0,1522.73,50136096,100.272
[CSV]compute5,1,NkOpt,2154434,100,1,3,21.825,0.0,3308.99,107867998,100.136
[CSV]compute5,1,NkOpt,4641588,100,1,3,23.36,0.0,7425.68,231796456,99.8781
[CSV]compute5,1,NkOpt,10000000,100,1,3,24.8951,0.0,16736.4,500888672,100.178
[CSV]compute5,1,NkOpt,21544346,100,1,3,26.4301,0.0,35199,1079342193,100.197
[CSV]compute5,1,NkOpt,46415888,100,1,3,27.9655,0.0,78017.7,2320144274,99.972
[CSV]compute5,1,NkOpt,100000000,100,1,3,29.5006,0.0,173988,4998555306,99.9711
[CSV]compute5,1,NkOpt,21544,1000,1,3,7.93843,0.0,216.533,10789433,1001.62
[CSV]compute5,1,NkOpt,46415,1000,1,3,9.50959,0.0,450.053,22684613,977.469
[CSV]compute5,1,NkOpt,100000,1000,1,3,11.0624,0.0,1008.49,50855121,1017.1
[CSV]compute5,1,NkOpt,215443,1000,1,3,12.6062,0.0,2155.14,108442941,1006.7
[CSV]compute5,1,NkOpt,464158,1000,1,3,14.1456,0.0,4675.97,232194444,1000.5
[CSV]compute5,1,NkOpt,1000000,1000,1,3,15.6828,0.0,9897.76,501357379,1002.71
[CSV]compute5,1,NkOpt,2154434,1000,1,3,17.2189,0.0,21111.9,1074318566,997.309
[CSV]compute5,1,NkOpt,4641588,1000,1,3,18.7545,0.0,46037.6,2326268669,1002.36
[CSV]compute5,1,NkOpt,10000000,1000,1,3,20.2899,0.0,99924.5,4993602150,998.72
[CSV]compute5,1,NkOpt,21544346,1000,1,3,21.8251,0.0,213647,10780408360,1000.76
[CSV]compute5,2,NkOpt,10000,10,0.6,2.2,19.2056,0.0,6.02071,53666,10.7332
[CSV]compute5,2,NkOpt,10000,10,0.6,2.2,19.2056,0.0,5.63603,46544,9.3088
[CSV]compute5,2,NkOpt,21544,10,0.6,2.2,20.8558,0.0,11.1382,91780,8.52024
[CSV]compute5,2,NkOpt,46415,10,0.6,2.2,22.4896,0.0,25.6545,231798,9.98806
[CSV]compute5,2,NkOpt,100000,10,0.6,2.2,24.112,0.0,58.1567,501357,10.0271
[CSV]compute5,2,NkOpt,215443,10,0.6,2.2,25.7171,0.0,130.36,977982,9.0788
[CSV]compute5,2,NkOpt,464158,10,0.6,2.2,27.3193,0.0,301.978,2435456,10.4941
[CSV]compute5,2,NkOpt,1000000,10,0.6,2.2,28.9054,0.0,628.458,4840506,9.68101
[CSV]compute5,2,NkOpt,2154434,10,0.6,2.2,30.488,0.0,1443.41,10168864,9.43994
[CSV]compute5,2,NkOpt,4641588,10,0.6,2.2,32.0655,0.0,3451.36,22929892,9.88019
[CSV]compute5,2,NkOpt,10000000,10,0.6,2.2,33.6363,0.0,8008.12,50698864,10.1398
[CSV]compute5,2,NkOpt,21544346,10,0.6,2.2,35.2051,0.0,16651.4,107537685,9.98291
[CSV]compute5,2,NkOpt,46415888,10,0.6,2.2,36.7676,0.0,38312.9,223445655,9.62798
[CSV]compute5,2,NkOpt,100000000,10,0.6,2.2,38.3262,0.0,88566.1,483576576,9.67153
[CSV]compute5,2,NkOpt,10000,100,0.6,2.2,14.0942,0.0,17.8513,523622,104.724
[CSV]compute5,2,NkOpt,10000,100,0.6,2.2,14.0942,0.0,17.7705,534988,106.998
[CSV]compute5,2,NkOpt,21544,100,0.6,2.2,15.8307,0.0,34.326,1023115,94.9791
[CSV]compute5,2,NkOpt,46415,100,0.6,2.2,17.531,0.0,75.429,2275802,98.0632
[CSV]compute5,2,NkOpt,100000,100,0.6,2.2,19.2046,0.0,160.334,4687053,93.7411
[CSV]compute5,2,NkOpt,215443,100,0.6,2.2,20.8564,0.0,368.294,10673617,99.0853
[CSV]compute5,2,NkOpt,464158,100,0.6,2.2,22.4907,0.0,831.007,23991213,103.375
[CSV]compute5,2,NkOpt,1000000,100,0.6,2.2,24.1109,0.0,1690.23,49652350,99.3047
[CSV]compute5,2,NkOpt,2154434,100,0.6,2.2,25.7189,0.0,3644.82,103776848,96.3379
[CSV]compute5,2,NkOpt,4641588,100,0.6,2.2,27.3174,0.0,8349.36,232451012,100.16
[CSV]compute5,2,NkOpt,10000000,100,0.6,2.2,28.9074,0.0,18356.2,494379216,98.8758
[CSV]compute5,2,NkOpt,21544346,100,0.6,2.2,30.4901,0.0,39429.3,1094491499,101.604
[CSV]compute5,2,NkOpt,46415888,100,0.6,2.2,32.0667,0.0,85662.1,2262608577,97.4928
[CSV]compute5,2,NkOpt,100000000,100,0.6,2.2,33.6378,0.0,191674,4985682567,99.7137
[CSV]compute5,2,NkOpt,21544,1000,0.6,2.2,10.4538,0.0,210.361,9605590,891.718
[CSV]compute5,2,NkOpt,46415,1000,0.6,2.2,12.309,0.0,481.867,22010252,948.411
