[CSV]host,iter,algo,n,avgDeg,alpha,T,R,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]compute5,0,Embedder,100000,100,0.6,0.9,24.5068,828.039,784552,15.691
[CSV]compute5,0,Embedder,215443,100,0.6,0.9,26.0419,1984.71,1866032,17.3227
[CSV]compute5,0,Embedder,464158,100,0.6,0.9,27.5769,4478.83,3679117,15.8529
[CSV]compute5,0,Embedder,1000000,100,0.6,0.9,29.112,10499,8312383,16.6248
[CSV]compute5,0,Embedder,2154434,100,0.6,0.9,30.6471,27273.9,15736322,14.6083
[CSV]compute5,0,Embedder,21544,1000,0.6,0.9,16.8315,304.423,800231,74.2881
[CSV]compute5,0,Embedder,46415,1000,0.6,0.9,18.3666,773.802,2044432,88.0936
[CSV]compute5,0,Embedder,100000,1000,0.6,0.9,19.9017,1871.91,4887693,97.7539
[CSV]compute5,0,Embedder,215443,1000,0.6,0.9,21.4367,4550.25,11068393,102.75
[CSV]compute5,0,Embedder,464158,1000,0.6,0.9,22.9718,11090,25451203,109.666
[CSV]compute5,0,Embedder,1000000,1000,0.6,0.9,24.5068,27787.7,60963962,121.928
[CSV]compute5,0,Embedder,2154434,1000,0.6,0.9,26.0419,64865.2,140407092,130.342
[CSV]compute5,0,Embedder,10000,10,1,0.9,20.1124,66.1206,16005,3.201
[CSV]compute5,0,Embedder,10000,10,1,0.9,20.1124,66.2583,16440,3.288
[CSV]compute5,0,Embedder,21544,10,1,0.9,21.6474,136.097,35968,3.33903
[CSV]compute5,0,Embedder,46415,10,1,0.9,23.1825,279.633,77883,3.35594
[CSV]compute5,0,Embedder,100000,10,1,0.9,24.7176,589.927,168989,3.37978
[CSV]compute5,0,Embedder,215443,10,1,0.9,26.2526,1253.44,366201,3.39952
[CSV]compute5,0,Embedder,464158,10,1,0.9,27.7877,4351.15,760704,3.27778
[CSV]compute5,0,Embedder,1000000,10,1,0.9,29.3227,9315.61,1634937,3.26987
[CSV]compute5,0,Embedder,2154434,10,1,0.9,30.8578,19202.8,3557925,3.30289
[CSV]compute5,0,Embedder,4641588,10,1,0.9,32.3928,36688,7674697,3.30693
[CSV]compute5,0,Embedder,10000000,10,1,0.9,33.9279,85214.3,16607825,3.32157
[CSV]compute5,0,Embedder,21544346,10,1,0.9,35.463,172199,35983676,3.34043
[CSV]compute5,0,Embedder,10000,100,1,0.9,15.5072,44.0011,80181,16.0362
[CSV]compute5,0,Embedder,10000,100,1,0.9,15.5072,42.265,75441,15.0882
[CSV]compute5,0,Embedder,21544,100,1,0.9,17.0422,95.3687,172408,16.0052
[CSV]compute5,0,Embedder,46415,100,1,0.9,18.5773,216.119,394270,16.9889
[CSV]compute5,0,Embedder,100000,100,1,0.9,20.1124,485.588,851704,17.0341
[CSV]compute5,0,Embedder,215443,100,1,0.9,21.6474,1186.75,1916422,17.7905
[CSV]compute5,0,Embedder,464158,100,1,0.9,23.1825,2716.24,4187168,18.042
[CSV]compute5,0,Embedder,1000000,100,1,0.9,24.7176,6208.24,9309266,18.6185
[CSV]compute5,0,Embedder,2154434,100,1,0.9,26.2526,14066.1,20699570,19.2158
[CSV]compute5,0,Embedder,4641588,100,1,0.9,27.7877,25696.6,35147201,15.1445
[CSV]compute5,0,Embedder,10000000,100,1,0.9,29.3227,57185.8,78373526,15.6747
[CSV]compute5,0,Embedder,21544,1000,1,0.9,12.4371,999.379,1978132,183.636
[CSV]compute5,0,Embedder,46415,1000,1,0.9,13.9721,1210.28,3253423,140.188
[CSV]compute5,0,Embedder,100000,1000,1,0.9,15.5072,2849.97,7309980,146.2
[CSV]compute5,0,Embedder,215443,1000,1,0.9,17.0423,6626.55,16223086,150.602
[CSV]compute5,0,Embedder,464158,1000,1,0.9,18.5773,15580.9,36942059,159.179
[CSV]compute5,0,Embedder,1000000,1000,1,0.9,20.1124,35052.7,81353107,162.706
[CSV]compute5,0,Embedder,2154434,1000,1,0.9,21.6474,80495.2,181560815,168.546
[CSV]compute5,0,Embedder,4641588,1000,1,0.9,23.1825,179541,403861314,174.019
[CSV]compute5,1,Embedder,10000,10,0.6,0,19.2056,31.5617,56419,11.2838
[CSV]compute5,1,Embedder,10000,10,0.6,0,19.2056,30.1498,48713,9.7426
[CSV]compute5,1,Embedder,21544,10,0.6,0,20.8558,43.2584,97454,9.04697
