[CSV]algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
[CSV]hypergirgs,thomas-desktop,2,4720,100000,100,0.6,2.2,0,19.2046,76.695,5.84267,12.0261,58.8215,4864631,97.2926
[CSV]hypergirgs,thomas-desktop,2,4730,215443,100,0.6,2.2,0,20.8564,168.183,12.577,26.7797,128.822,10777657,100.051
[CSV]hypergirgs,thomas-desktop,2,4740,464158,100,0.6,2.2,0,22.4907,362.221,26.8837,55.091,280.241,24217502,104.35
[CSV]hypergirgs,thomas-desktop,2,4750,1000000,100,0.6,2.2,0,24.1109,747.87,57.6877,116.12,572.625,49016241,98.0325
[CSV]hypergirgs,thomas-desktop,2,4760,2154434,100,0.6,2.2,0,25.7189,1585.6,125.286,231.888,1223.46,103678930,96.247
[CSV]hypergirgs,thomas-desktop,2,4770,4641588,100,0.6,2.2,0,27.3174,3456.16,292.863,493.06,2662.81,228966571,98.6587
[CSV]hypergirgs,thomas-desktop,2,4780,10000000,100,0.6,2.2,0,28.9074,7584.75,623.227,1057.91,5887.56,498357584,99.6715
[CSV]hypergirgs,thomas-desktop,2,4790,21544346,100,0.6,2.2,0,30.4901,16116.9,1343.19,2273.32,12460.6,1040564436,96.5974
[CSV]hypergirgs,thomas-desktop,2,4800,46415888,100,0.6,2.2,0,37.3588,29934.6,2526.23,5812.1,21517,174026902,7.49859
[CSV]hypergirgs,thomas-desktop,2,4810,100000000,100,0.6,2.2,0,37.6282,50492.7,5397.81,11974.6,32978.8,685001720,13.7
[CSV]hypergirgs,thomas-desktop,2,4820,21544,1000,0.6,2.2,0,10.4538,90.0953,1.32008,2.51985,86.236,10193988,946.341
[CSV]hypergirgs,thomas-desktop,2,4830,46415,1000,0.6,2.2,0,12.309,196.142,2.73549,4.82224,188.579,21698840,934.993
[CSV]hypergirgs,thomas-desktop,2,4840,100000,1000,0.6,2.2,0,14.0941,434.752,5.73185,11.2017,417.813,48561993,971.24
